UE_Distance_m,Interference_dBm,SINR_dB,Throughput_Mbps
5,-56.5473114825964,10.0561924264032,52.0644082919438
10,-56.289761807407,3.67980696412945,20.7628629853116
15,-56.314325916637,15.4224165620529,78.6895464497554
20,-56.2765200661294,13.0170914641035,57.5591862889204
25,-56.1105108416795,6.8564455583508,30.0645694840258
30,-56.3184463656184,12.999209375502,66.1791553876234
35,-56.4632677390795,10.7235396158175,53.2272479915095
40,-56.1882132645806,2.13410977320029,15.9302955133689
45,-56.2246430717255,3.05852667351996,21.1165783932414
50,-56.1101182401788,8.26543897582371,42.2868618692527
55,-56.5259833970308,9.8126012531232,50.6022266922239
60,-56.1821015601108,8.64839448848085,45.8211170934636
65,-56.412241223117,6.56052322643569,36.7192573727507
70,-56.2812726959964,2.83868173228313,22.2431740656179
75,-56.13723883859,-3.18242163725233,8.88713151738693
80,-56.3722519495844,-14.6002260791022,0.842623466706068
85,-56.15178589792,-8.19949680467147,3.20634617329386
90,-56.0044062732065,-2.65977330989836,9.60282770482014
95,-56.0635966704106,0.16311889329819,15.6048454445612
100,-56.1460002436264,2.02373846045219,20.1071055264616
105,-56.2756877410358,3.10059560813858,22.5336865555014
110,-56.2522639933416,3.31776204859869,24.0555990720973
115,-56.0797429571177,3.86946554384815,25.2197898529791
120,-55.9485154260515,3.65105015492867,25.6101097903253
125,-56.0550489173465,3.65998106025512,25.1442415546342
130,-56.101494262205,3.89111846369633,26.1129988370031
135,-56.0718174499973,3.79945451435361,25.9304919710117
140,-56.1234064361436,3.3748524653999,24.026336323004
145,-56.0206332076687,3.43918200919364,24.2346394896616
150,-55.9634184847757,2.95595280157528,22.867008629962
155,-56.1041885128926,2.80304054295505,22.841030359885
160,-55.8990393533173,2.28330574478753,21.1724942759802
165,-56.0479437229392,1.88916563361647,20.2432470374662
170,-55.7905087062295,1.63247508606065,19.1940347681878
175,-55.8316540578452,1.33424223470689,18.3228950056604
180,-55.8977168930579,1.03564992954102,17.6340222214881
185,-55.6258077453562,0.677011612370109,16.6176276242261
190,-55.7254351344902,0.216803959952813,15.7464914263154
195,-55.6863585566652,-0.0459765108629426,15.0184469805763
200,-55.6146857703733,-0.25118969096269,14.519953930304
205,-55.6276243213047,-0.409264539109245,14.0419331112474
210,-55.7542081732514,-1.07060801005002,12.6707642829074
215,-55.4962235098064,-1.32259880998174,12.0421117558541
220,-55.3318259051878,-1.86397588652073,11.1179767859733
225,-55.3886306026653,-2.10982146383503,10.6293955009706
230,-55.4257384570471,-2.77114545125295,9.56034189048725
235,-55.3264205122551,-3.47492503463286,8.34953152878051
240,-55.1590118308165,-3.6340026100853,8.17766664997022
245,-55.0802358910889,-3.71452470976942,8.15800768608942
250,-54.9470137200396,-4.0790958536341,7.45667228168608
255,-54.9234580985289,-4.59858798643961,6.859195814943
260,-54.9878854497143,-5.00207432927976,6.35714023035615
265,-54.6842473331016,-5.34343842301274,5.90184270659278
270,-54.6661451969603,-6.16177282232621,5.03376195270152
275,-54.4764647853099,-6.29377110809571,4.96251911981871
280,-54.5419185247837,-6.08121567211822,5.09258179165157
285,-54.4552509740557,-6.66500377576051,4.64775321106139
290,-54.2399187918375,-7.28192000144242,4.03627041889242
295,-53.9306915222118,-7.38680125962838,4.0375682644511
300,-53.8540559863184,-8.38161028563172,3.30459841524946
305,-53.1184250989505,-8.78688532813584,2.98405416739188
310,-53.0515592108025,-9.43619684018182,2.66008034263373
315,-52.7908422400222,-10.0006856503722,2.32872413067392
320,-52.5656699823292,-10.2140129365401,2.17153239062474
325,-51.5837611736428,-12.3108901598372,1.43956413275327
